,cell_id,rec_id,roi_id,cell_type,angles_btw_RFcenter_and_DensityCenter,angles_btw_RFcenter_and_SomaPos,dendritic_distance_to_soma,euclidean_distance_to_density_center,offset
192,20161028_1,12,8,0,78.3958308752443,103.66052155498981,67.41592642419296,59.99456950956141,4.775015816785476
194,20161028_1,12,10,0,22.854092846516508,60.65706551904108,44.88615502628644,44.515425474373195,19.7858118940772
195,20161028_1,12,11,0,27.70100977997399,22.801051522348786,30.850020637034646,35.59342042596125,21.553467445520322
199,20161028_1,13,1,0,55.77259522077252,37.954797327815825,172.062330355941,86.50175215675812,21.905051930151192
200,20161028_1,13,2,0,63.36026925644928,48.68989620330925,199.52255393191734,97.32573168144884,42.948796912308914
201,20161028_1,13,3,0,53.23057707154929,35.397360356008974,165.0896180170826,88.52964717152794,7.675287541969323
202,20161028_1,13,4,0,55.259688519477905,38.17031547550326,178.74462264517555,88.32137704168251,30.1421537787357
203,20161028_1,13,5,0,56.85228676965352,41.130060214586344,190.72880958144182,92.37832765657386,44.9026800818693
204,20161028_1,13,6,0,80.11987406324741,63.272307502255266,181.7228355974569,88.65792991322492,35.04062543313119
205,20161028_1,13,7,0,73.35413891370513,55.40263167909916,157.9931224203018,89.26618821758942,14.434470838289204
206,20161028_1,13,8,0,65.53640525463138,84.00129853871485,153.06267024223195,87.62338398631006,2.355881253167378
207,20161028_1,13,9,0,41.70550390979087,26.52112567454894,194.5897457227049,94.82600438837376,53.20795461483948
208,20161028_1,13,10,0,102.94041038257826,85.06390734798187,167.63552213718793,87.62073141741088,19.272695381691673
210,20161028_1,14,1,0,52.2782476782048,40.60933987668925,193.9299248118115,121.41251589022328,24.906827053233936
211,20161028_1,14,2,0,49.642453584686805,37.27175387273183,186.4685365353938,115.26870873296828,27.388978545201795
212,20161028_1,14,3,0,122.25025908969646,107.54932570302549,159.09775361118812,96.57338883772822,18.9513155583975
213,20161028_1,14,4,0,72.90884245034304,58.74688414634272,164.88235468968332,101.00350750876183,15.214927341071755
214,20161028_1,14,5,0,56.09963675056215,43.083912831929226,179.02525378360605,110.88930256390478,22.826666586053616
215,20161028_1,14,6,0,70.58176971423791,57.06346793334245,174.22386559301907,107.38386450623588,12.911924248194255
216,20161028_1,14,7,0,107.13624261306829,93.2113516613956,168.56832850200686,103.56686951426508,14.711647071340629
217,20161028_1,14,8,0,72.70077541202168,58.201373455894924,160.42775365410353,97.82679843786345,20.219146076639877
220,20161028_1,14,11,0,47.955918072500566,35.95274532102576,190.06898867054838,118.23397873475122,25.115626650637154
223,20161028_1,15,1,0,59.92444250993531,71.28655965286534,144.0815888031461,99.05728305284183,21.62418714876599
224,20161028_1,15,2,0,22.597364412413405,34.23564894100684,129.46961072697445,104.64927415220902,16.932513593032187
226,20161028_1,15,4,0,25.47835504008151,12.809546236542529,144.026766092333,108.40447428997042,14.326734918838337
227,20161028_1,15,5,0,7.58233044403297,6.299020258525485,133.26894972015313,102.94615695152865,10.335248019168516
228,20161028_1,15,6,0,30.04546118669017,42.37949390510974,170.270139970042,98.77025039836951,17.720086606225383
229,20161028_1,15,7,0,23.09223078455407,35.86647141413749,119.86683434580067,100.52793875073573,14.798707657571605
232,20161028_1,15,10,0,26.433047142037,40.33015120279813,152.51396394589565,98.7516475527234,19.074864772582526
234,20161103_1,1,1,0,22.212173496054287,111.27829509418544,46.092292501414285,20.393288155093728,46.331663535820184
255,20161103_1,2,1,0,76.96268530342887,110.80341242874636,94.29883528521262,73.09479299444385,36.093630777143936
256,20161103_1,2,2,0,133.9410128666849,169.21715400975663,154.87713196526855,62.26801725191928,11.178789765726233
258,20161103_1,2,4,0,41.275208754166925,75.99091805854394,159.77092876233166,64.57535289120206,8.981496750697461
260,20161103_1,2,6,0,51.57215724669607,88.13720649468779,95.53361260532043,65.05556269499039,36.417785859727765
291,20161110_1,0,0,0,39.889389745992084,,0,44.15240590825868,26.087583926725657
293,20161110_1,1,2,0,35.232444921464975,25.819853084247335,82.8372429568843,30.157656373668107,26.030814609247095
