,exp_date,recording_id,roi_id,type,dendritic_distance_to_soma,euclidean_distance_to_density_center,sRF_asd_upsampled_cntr_size_60,cntrs_offset_calibrate_to_rois_60,cntr_quality_60,sRF_asd_upsampled_cntr_size_65,cntrs_offset_calibrate_to_rois_65,cntr_quality_65,sRF_asd_upsampled_cntr_size_70,cntrs_offset_calibrate_to_rois_70,cntr_quality_70,cntr_quality
1323,20171203_1,2,11,0,43.2118062944,23.3028607454,30.8562438483,0,0,25.2756465084,0,0,19.6480763736,0,0,0
1324,20171203_1,2,12,0,73.8194263456,53.5749566063,34.1351840759,0,0,24.0548659028,0,0,14.1322870866,0,0,0
1325,20171203_1,2,13,0,70.0576602419,49.9999470675,51.5773379048,0,0,43.909040426,0,0,35.6074512976,0,0,0
1326,20171203_1,2,14,0,9.4426764112,7.4502311897,16.1159330073,3.1540680488,1,12.8306334413,4.1979208131,1,10.2940827924,12.6750063978,1,1
1327,20171203_1,2,15,0,48.4882051126,23.5976426358,56.5691785734,0,0,37.2692780532,0,0,23.0813580159,0,0,0
1328,20171203_1,2,16,0,58.5163800477,40.8498011967,41.7154577556,0,0,33.9576984352,0,0,25.8565411111,0,0,0
1329,20171203_1,2,17,0,36.5114139705,8.7441460847,27.1144376215,0,0,21.1388095091,22.1308698052,1,17.2881358003,13.134383544,1,0
1330,20171203_1,2,18,0,33.7649436199,23.1742228822,50.9594364878,0,0,37.3954228299,0,0,27.8665339264,0,0,0
1331,20171203_1,2,19,0,33.1436907092,6.4583568906,17.8257904464,0,0,12.2216382213,17.2453829767,1,9.6797948755,12.7700203198,1,0
1332,20171203_1,2,20,0,65.5123076611,43.5571895786,32.0901705106,0,0,19.6860005772,0,0,12.3382321672,14.8956864535,1,0
1333,20171203_1,2,21,0,53.271434254,24.5326014082,28.2686035349,0,0,17.9336296609,14.107535183,1,13.6629524185,18.0642649287,1,0
1334,20171203_1,2,22,0,72.5232031292,48.1069505063,42.001076473,0,0,34.6405090914,0,0,27.2492675253,0,0,0
1335,20171203_1,2,23,0,5.3727455204,6.517828774,56.3696497964,0,0,42.2110059761,0,0,31.8615257312,0,0,0
1336,20171203_1,3,1,0,199.6014382049,139.938185589,8.3484288528,15.3351256905,1,6.9353021879,18.5954388173,1,5.6737307331,21.6487462558,1,1
1337,20171203_1,3,2,0,177.8533621849,128.0395559921,8.5999742328,4.0798702919,1,7.1261825434,4.46640053,1,5.8213778003,9.6052647745,1,1
1338,20171203_1,3,3,0,192.0110708762,136.8845948199,8.0473329562,10.7490518545,1,6.7325068576,13.8054562425,1,5.5401034663,17.6987353544,1,1
1339,20171203_1,3,4,0,204.4177405235,143.2491023852,8.810716983,24.4744775329,1,7.2962676724,26.7024258357,1,5.9541949202,30.5599045261,1,1
1340,20171203_1,3,5,0,184.6211004203,132.7799831958,8.5780828659,8.398221646,1,7.1149410914,11.1194792628,1,5.8164419799,14.9023358211,1,1
1341,20171203_1,3,6,0,194.006048617,137.5135248541,7.73362387,10.3522721239,1,6.4720793518,13.8831475239,1,5.3241685474,17.7392539582,1,1
1342,20171203_1,3,7,0,210.4199976044,145.6631658218,8.8021208328,21.6829317264,1,7.3002382354,24.5747267948,1,5.9632107189,28.0667448115,1,1
